Number,Name,Designation,Category,Components,Absolute Magnitute,Quality Code for Best Images,NASA Link
,,2001 CP36,NEA,1.0,23.92,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001%20CP36
,,2001 CQ36,NEA,1.0,22.74,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001%20CQ36
,,2001 EC16,NEA,1.0,22.42,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001%20EC16
,,2001 FR85,NEA,1.0,24.8,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001%20FR85
,,2001 JV1,PHA,1.0,21.5,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001%20JV1
,,2001 SP263,NEA,1.0,25.7,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001%20SP263
,,2001 SZ269,PHA,1.0,19.82,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001%20SZ269
,,2001 TA2,PHA,1.0,22.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001%20TA2
,,2001 UP,NEA,1.0,25.7,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001%20UP
,,2001 WM15,NEA,1.0,25.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001%20WM15
,,2001 XX4,NEA,1.0,22.1,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001%20XX4
,,2001 YM2,NEA,1.0,19.7,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001%20YM2
,,2001 YP3,PHA,1.0,22.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001%20YP3
,,2002 AA29,NEA,1.0,24.1,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002%20AA29
,,2002 AV,PHA,1.0,20.9,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002%20AV
,,2002 AY1,PHA,1.0,20.85,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002%20AY1
,,2002 BF25,NEA,1.0,22.62,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002%20BF25
,,2002 BG25,NEA,1.0,20.9,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002%20BG25
,,2002 BM26,PHA,2.0,20.1,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002%20BM26
,,2002 CX58,NEA,1.0,22.3,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002%20CX58
,,2002 KK8,PHA,2.0,21.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002%20KK8
,,2002 LY1,NEA,1.0,22.3,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002%20LY1
,,2002 NY40,PHA,1.0,19.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002%20NY40
,,2002 TS69,NEA,1.0,24.4,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002%20TS69
,,2002 TZ66,NEA,1.0,25.9,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002%20TZ66
,,2003 DZ15,NEA,1.0,22.41,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003%20DZ15
,,2003 EP4,NEA,1.0,23.93,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003%20EP4
,,2003 HM,NEA,1.0,22.04,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003%20HM
,,2003 HN16,NEA,1.0,22.15,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003%20HN16
,,2003 MS2,PHA,1.0,21.21,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003%20MS2
,,2003 OC3,PHA,1.0,18.83,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003%20OC3
,,2003 QB30,NEA,1.0,26.8,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003%20QB30
,,2003 RU11,NEA,1.0,25.5,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003%20RU11
,,2003 SS84,PHA,2.0,21.95,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003%20SS84
,,2003 TH2,NEA,1.0,22.86,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003%20TH2
,,2003 WH166,PHA,1.0,22.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003%20WH166
,,2004 AD,NEA,1.0,24.4,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004%20AD
,,2004 FY31,PHA,1.0,21.97,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004%20FY31
,,2004 HX53,NEA,1.0,23.6,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004%20HX53
,,2004 JN1,NEA,1.0,23.74,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004%20JN1
,,2004 RQ10,PHA,1.0,21.01,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004%20RQ10
,,2005 EU2,NEA,1.0,23.1,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005%20EU2
,,2005 FA,NEA,1.0,25.2,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005%20FA
,,2005 HB4,NEA,1.0,24.4,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005%20HB4
,,2005 RC34,PHA,1.0,19.77,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005%20RC34
,,2005 TD49,NEA,1.0,26.4,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005%20TD49
,,2005 TF49,PHA,1.0,19.05,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005%20TF49
,,2005 TU50,PHA,1.0,21.47,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005%20TU50
,,2005 WA1,PHA,1.0,21.72,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005%20WA1
,,2005 WD,PHA,1.0,21.93,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005%20WD
,,2005 WK56,NEA,1.0,22.6,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005%20WK56
,,2005 XA,NEA,1.0,26.3,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005%20XA
,,2006 AL8,NEA,1.0,18.41,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2006%20AL8
,,2006 AM4,PHA,1.0,21.8,5.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2006%20AM4
,,2006 CT,NEA,1.0,22.28,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2006%20CT
,,2006 NL,NEA,1.0,19.96,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2006%20NL
,,2006 QV89,NEA,1.0,25.5,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2006%20QV89
